Key,Hashcode,Name,Description,Price,Reorder Amt,#in Stock,Min Amount,Manufacturer
52,7880,608 LLU MAX BEARING 8 X 22 X 7,,4,2000,940,0,6
10,7441,CABLE CLAMP,,2,150,67,0,11
67,1562,10mm RISER SPACER,,2.98,4000,1940,0,6
11,1403,AXLE BEARING SPACER,,0.25,3800,234,0,4
27,1844,M8 SS CONICAL SPRING WASHER BO,,0.2,1000,196,0,5
44,8245,HANDLE TUBE,,0.72,2000,970,0,12
7,9246,MOTOR MOUNT PLATE RT,,12.92,500,3,0,1
61,1927,"#10-32 X 1 1/2"" BASE PLATE SCREW SET (BZ)",,0.96,2000,970,0,5
16,5448,M8 SS LOCKNUT BO (NYLON INSERT),,0.17,700,93,0,5
30,6969,OUTER BEARING SPACER,,0.85,5000,274,0,6
66,1052,5mm RISER SPACER,,2.98,4000,1940,0,6
63,8893,"#10-32 X 2 1/4"" BASE PLATE SCREW SET (BZ)",,1.34,2000,970,0,14
21,3214,M10 X180 GRADE 12.9 SOCKET BOLT DCRMT/BLK,,1.75,750,700,0,5
57,6735,DETENT LEVER,,6,2000,970,0,2
2,8976,TRUCK WING FW-LFT,,14.95,500,18,0,1
54,6737,DETENT SPRING SS 9.5  X 15,,0.08,2000,970,0,2
29,2978,INNER BEARING SPACER,,0.25,1000,462,0,6
5,1860,TRUCK WING DW-RT,,14.95,500,478,0,1
53,9861,BEARING SPACER 8 X 12 X 16 (AL),,0.3,2000,970,0,7
19,5262,M10 SS LOCKNUT BO (NYLON INSERT),,0.25,500,346,0,5
17,3104,M8 SS FLAT WASHER BO,,0.03,600,116,0,5
49,1305,M8 X45 SS SOCKET BOLT,,0.33,2000,970,0,14
37,5546,M8 STEEL BO SETUP STUD DOUBLE THREAD,,1,500,328,0,5
60,787,M8 X20 SS BH SOCKET SCREW BO,,0.15,2000,970,0,5
18,9708,M8 X125 GRADE 12.9 SOCKET BOLT DCRMT/BLK,,0.5,1000,234,0,5
55,8509,TS DETENT CUSTOM PIN-CYLINDER,,1.5,2000,970,0,2
4,1590,TRUCK WING DW-LFT,,14.95,500,378,0,1
58,3191,"DELRIN GLIDE CYLINDER .25"" X 5mm",,0.5,8000,3880,0,2
35,1152,URETHANE DAMPENING BUSHING,,0.15,2000,1201,0,5
51,794,M5 X30 SS BH SOCKET SCREW,,0.07,4000,1970,0,4
36,8835,P.A. CONICAL HANDLE (PRELOAD HANDLE),,0.2,5000,4567,0,9
39,7557,M6 SS BO HIGH COLLAR SPLIT LOCK WASHER,,0.1,2000,1446,0,10
65,5438,M5 X12 SS BH SOCKET SCREW BO,,0.1,2000,970,0,14
31,5861641,"5/16""-24 AXLE LOCKNUT BO (NYLON INSERT)",,0.17,3000,268,0,5
32,5861642,SB-HD WHEEL AXLE,,2.7,3000,2490,0,1
33,5861643,"3/8""-24 PIVOT AXLE LOCKNUT BO (NYLON INSERT)",,0.25,3000,2502,0,5
34,5861644,SB-PIVOT BOLT 40Cr,,5.35,2000,183,0,5
20,5861607,M10 SS 1mm SPACER-WASHER,,0.1,1000,146,0,6
38,4104,M6 X14 SS BO LOW PROFILE SOCKET HEAD SCREW,,0.25,1000,787,0,5
22,5861609,TORSION SPRING 6.5 TRN/LFT-H CS,,0.65,3000,2634,0,7
23,5861610,TORSION SPRING 6.5 TRN/RT-H CS,,0.65,3000,212,0,7
24,5861611,TORSION SPRING 6 TRN/LFT-H CS,,0.65,3000,2308,0,7
25,5861612,TORSION SPRING 6 TRN/RT-H CS,,0.65,3000,1535,0,7
26,5861613,M8 X14/16 SS SOCKET CAP BOLT BO,,0.4,4000,3721,0,5
28,7937,URETHANE BUMPER,,0.24,500,-63,0,9
12,5861576,M6 X18 SS FH SOCKET SCREW BO,,0.16,500,212,0,5
13,5861577,PIVOT AXLE,,4.31,1000,323,0,1
14,5861578,BEARING SPACERS,,0.85,500,124,0,6
15,6742,6900 LLU MAX BEARING 10 X 22 X 6,,2.15,700,157,0,4
62,7963,"#10-32 X 2"" BASE PLATE SCREW SET (BZ)",,1.04,2000,1970,0,14
1,4744,TRUCK CENTER,,29.35,500,-4,0,1
64,4718,M5 SS CONICAL SPRING WASHER BO,,0.15,2000,970,0,14
3,177624,TRUCK WING FW-RT,,14.95,500,3,0,1
50,8602,M5 SS LOCK WASHER (SPLIT),,0.02,2000,970,0,5
6,177627,MOTOR MOUNT PLATE LFT,,12.92,500,-2,0,1
8,177629,MOTOR GEAR COVER,,5.59,500,765,0,1
9,2427,DRIVE BELT HTD 415/335 5M 15,,2.25,100,56,0,2
56,5861712,M6 X40 SS FH SOCKET SCREW BO,,0.18,2000,970,0,5
40,5861673,3D MOTOR GEAR COVER,,10,2500,46,0,11
41,5861674,TS BASE FLANGE,,8.95,2000,970,0,2
42,5861675,TS PIVOT PLATE,,11.52,2000,970,0,2
43,5861676,TS HANDLE PIVOT,,15,2000,970,0,2
45,5861678,GRIP (CUSTOM MOLD ASSEMBLY & CLAMP),,4.4,2000,970,0,13
46,5861679,3D GRIP CAP,,1,2000,970,0,13
